Review,product_category,score,score_category
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 한달사용예전 냉장고 냉동실 상태가 좋지 않아 냉장고를 교체했어요 800리터급으로 용량은 크면서 2도어 양문형으로 알아보던 중 신제품이 나왔길래 이 모델로 하게 됐습니다 기존 쓰던 4도어는 냉동실이 하칸에 있어서 보관한 식품을 제대로 구분하기가 힘들었거든요 식재료의 쉬운 구분과 깔끔한 정리를 원한다면 2도어 양문형 추천합니다 한달 넘게 써본 결과 소음도 크지 않고 거의 없다에 가깝네요 정말 만족하며 사용 중입니다! 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태20평대거주인원 2인신혼 부부 한달사용한달 후기 너무 만족해요!!! 설치때도 정말 섬세하게 해주셨는데 자리도 간격도 너무 맘에 들어서 편하고 좋아요 제품이야 말해 뭐해요 사진 비디오 수 4 이미지 펼쳐보기 0,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5  . 신고 주거형태30평대거주인원 1인싱글 한달사용일단 배송 설치에 만점을 드리고 싶습니다. 저는 엘리베이터가 없는 5층 빌라에 살고 있는데 배송원 세분이 오셔서 창문제거 사다리차 방문제거 위치설정 마무리까지 정말 신속하고 깔끔하게 설치완료 해 주셨습니다. 친절은 기본이였고요. 제품도 너무 마음에 듭니다. 첨엔 올 블랙이 좀 튀지 않을까 살짝 걱정도 되었는데 놓고보니 그냥 쌩 블랙이 아미라 메탈블랙이라 그런지 뭔가 고급스럽고 어느 공간에 두어도 잘 어울릴 것 같습니다. 리뷰에 소리 잇슈가 있었는데 가끔 가동소리가 들리고 대부분은 아주 조용합니다. 사진 비디오 수 3 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태20평대거주인원 1인싱글 스토어 시어머니께서 오래 사용하시던 냉장고가 고장나면서 새롭게 바꿔드렸어요. 저희가 사용하는 냉장고가 괜찮아 보인다고 하셔서 같은 걸로 사드리려고 했는데 저희가 살때는 문에 도어가 있는게 있었는데 지금은 안나온다고 하더라구요. 그래서 저희가 지금 쓰고 있는 모델과 비슷한 모델을 찾아서 바꿔드렸네요. 어머니 혼자 사시는데도 냉장고에 보관하시는 음식물이 많아서 넉넉한 크기로 구입했습니다. 현관문이 좁은 편이어서 설치가 어려워 창문으로 옮기시느라 기사님들이 고생이 많으셨다고 합니다. 그래도 잘 설치해 주셔서 어머님께서 아주 많이 만족해 하셨습니다. 혼자 사시느라 기존에 있던 고장난 냉장고를 폐기하는게 어려웠는데 다행히 무상으로 수거해 가주셔서 폐기하기가 한결 편하셨다고 합니다. 냉장고와 냉동실 둘다 정상적으로 잘 작동하고 있습니다. 냉동이 좀더 많으신 편이라 냉동실이 좀 작다고 느끼셨다고 합니다. 나중엔 냉동실이 좀더 큰 용량으로 나왔으면 하네요. 그래도 삼성이라 어르신들 고장났을 때 받기가 훨씬 수월할 것 같아 안심이 됩니다. 더보기 사진 비디오 수 3 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태거주인원 3인취학자녀 가정 한달사용우선 용량이 커서 음식 보관이 너무 좋아요 큰 그릇이나 냄비. 케익상자도 부담없이 들어가니 보관하기 짱입니다 디자인.색깔도 너무 맘에 듭니다. 보는사람들마다 이쁘다고 한마디씩 합니다 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태20평대거주인원 4인대가족 엄마집 냉장고가 고장나서 주문했어요 사이즈도 크고 넓어서 좋아요. 배송기사님들도 친절하시고 엄마가 너무 좋아하시네요 감사합니다 사진 비디오 수 5 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 좋은 리뷰 감사합니다! 앞으로도 좋은 제품을 좋은 가격으로 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태30평대거주인원 4인취학자녀 가정 한달사용냉장 냉동 온도 사용함에 있어서 가장 적절하게 잘 사용중입니다 블랙컬러는 처음이라 손얼룩걱정했는데 한달동안 사용해보니 쓸데없는 걱정 볼수록 내부공간 넓고 외관은 고급져보여서 적극 추천요 동영상컨텐츠 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태20평대거주인원 2인싱글 색도 고급지고 어머니 께서 완전 마음에 들어 하십니다. 고민 하지들 마세요 강추!! 기사분들도 친절하다 하셧어요 사진 비디오 수 4 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 좋은 리뷰 감사합니다! 앞으로도 좋은 제품을 좋은 가격으로 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 삼성은 말이 필요없죠 어머니가사용하던 냉장고가 14년 사용하고 고장나서 주문해드렷어요 좋아하시네요 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 좋은 리뷰 감사합니다! 앞으로도 좋은 제품을 좋은 가격으로 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 주거형태60평 이상거주인원 3인대가족 한달사용집에서 부모님이 만족하면서 사용하고 계세요 빨리 왔고 시간 좀 지났는데도 별 문제 없이 잘 쓰고 있습니다 사진 비디오 수 2 이미지 펼쳐보기 0,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5  . 신고 블랙이라 너무 어둡게 느껴질까 걱정했는데 와우 세련된 매탈느낌의 고급스러운 색이라 만족합니다 소음도 적고 깊이가 있어 수납이 너무 좋아요 지금까지 대만족입니다!!! 이미지 펼쳐보기 0,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5  . 신고 배송은 연말이라 몇일 걸렸지만. 친절한 배송과 설치. 좋았습니다. 문2개가 편해서 구매했는데 저렴한 가격에. 넓고. 맘에 들어요. 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 좋은 내용과 멋진 사진까지 올려주셔서 감사합니다. 오늘도 기분좋은 하루가 되시길 바랄게요! 감사합니다.",냉장고,,나쁨
"리뷰 더보기 접기 평점 5 2  . 신고 주거형태30평대거주인원 4인취학자녀 가정 한달사용가성비 좋게 잘샀어요. 기본에 충실하고 냉장고안도 널직한게 사용하기 좋아요. 이사가기 전까지 임시 사용하려고 산건데, 나중에 이사가서도 계속 써야 할거 같아요. 색상도 나쁘지 않는거 같아요. 잘 사용하고 있어요 사진 비디오 수 2 이미지 펼쳐보기 0",냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5 4  . 신고 주거형태30평대거주인원 4인취학자녀 가정 구매 후 설치까지 이틀 소요되었습니다 설치 전 삼성 기사님 통화 후 설치 받았는데 약속 시간도 잘 지켜 주시고 친절하셨습니다 설치 후 자세하게 설명도 잘 해주시고 뒷정리도 깨끗하게 해 주셨습니다 냉장고 깔끔하고 심플해서 너무 마음에 듭니다 추천 드립니다 더보기 사진 비디오 수 5 이미지 펼쳐보기 1,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 배송이 아주 빨랐습니다. 구매 당시 등급을 확인할 수 없어서 1등급이길 기도했지만 2등급이 와서 살짝 아쉬웠으나 3등급이 아닌게 어디야? 하며 정신승리! 냉장고 고장으로 수리불가 판정 받은지 1시간 만에 라이브 하는 거 보고 바로 샀는데 그런 거 치곤 우리집에 꼭 맞아서 다행이라고 정신승리합니다 훗 실물이 더 이쁘네요 근데 갈 수록 냉장고는 문쪽 케이스가 작아지는 것 같아요. 그게 조금 아쉽 3번째 사진이 전에 쓰던 냉장고 문쪽 케이스 약 2배 차이! 요즘 스타일이 이런 가 봐요. 냉동실이 냉장실 크기의 60 정도이고요. 예전 냉장고보다 냉동실이 많이 작아졌습니다 이제 요즘에 적응해야죠. 홧팅 더보기 사진 비디오 수 3 이미지 펼쳐보기 0,냉장고,5.0,좋음
"리뷰 더보기 접기 평점 5  . 신고 제품선택 코타화이트 설치한지 5일 찐사용후기입니다! 정말 열심히 찾아보다가 우연히 저렴하게 판매하는 이 곳을 찾아 구매했는데요. 기대했던대로 아주 좋은 제품을 타사이트 대비 매우 저렴하게 구매할 수 있었습니다. 방문해주신 기사님도 무척 친절했습니다. 전날 시간 조율할 때도, 당일 안내해 주실 때도 사소한 것 하나하나 빼놓지 않고 설명해 주셔서 큰 도움이 되었어요 냉장고는 기본기가 아주 충실한 냉장고에요. 윗쪽의 냉장 공간이 이것저것 넣기에 정말 충분하구요! 사진에는 미처 못 담았지만 접이식 장이 하나 있어서 높이가 있는 물체를 보관하기 정말 좋았어요. 그리고 오른쪽 아래가 커스터마이징 할 수 있는 공간인데, 저희 집은 현재 김치를 보관하는 용도로 쓰고 있어요. 각자의 상황에 맞춰 활용할 수 있다는 점이 정말 좋았습니다. 한 문장으로 요약하자면 사용할수록 만족스럽고 구매부터 설치 과정까지 모두 마음에 들었습니다! 강추! 더보기 사진 비디오 수 3 이미지 펼쳐보기 0",냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 코타화이트 주거형태10평대거주인원 2인신혼 부부 크기도 너무좋고 디자인도 깔끔해요 냉장고가 너무 이쁘구 맘에드니까 반찬통 까지 구매해서 이쁘게 정리하려구요 배달해주시는 직원분들도 너무 친절하시구 설명도 깔끔하게 잘해주셨어요 냉장고 위치도 맞춰주시구 수평까지 꼼꼼하게 배치해주시고 가셨어요 이제 건강한 집밥 자주 만들어먹을수있어서 행복하네여 사진 비디오 수 2 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 코타화이트 주거형태30평대거주인원 4인영유아 가정 신혼때 산 10년된 냉장고가 고장나서 급하게 냉장고를 알아보는데... 기존 800리터도 공간차지가 심해 도저히 900리터 냉장고를 살 용기가 없었어요 그래도 키친핏을 사면 보관용량이 작아서 엄청 고민했는데.. 사고나니 너무 만족스러워서 괜히 고민했다싶어요! 일단 10센치정도 덜 튀어나오니 집이 넓어져서 너무 좋구 원래있던 키친핏 김냉을 냉동실로 바꾸고 이번에 구매한 냉장고 한쪽을 김치로 바꿨어요! 맞춤보관이 되니 저의 고민이 순식간에 해결!! 한쪽엔 아이스크림을 두니 아이들이 손 닿는 곳에서 직접 꺼내먹으니 더 좋아해요 냉장 쪽은 전혀 작지않구요!! 코타화이트는 문쪽에 자석이 되니까 좋네요 배송도 좋았구.. 하자도 없고 폐가전 수거도 잘해주시고 정말 감사해요 잘쓸게요 더보기 이미지 펼쳐보기 0,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태30평대거주인원 5인취학자녀 가정 한달사용한달도안사용해보고 냉장고는 5인가족이 쓰기 괜찮은데 냉동실이 많이 작아요..아이들 간식이라던지 냉동식풍을 많이 사두는데 이제는 많이 사두질못해서 많이 아쉬워요...그래도 외관이 너무 깔끔해져서 만족하면서 제가 부지런해지려고요 동영상컨텐츠 사진 비디오 수 2 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 코타화이트 깔끔하고 이쁘네요 설명처럼 오른쪽 아래칸은 마음대로 할수 있는게 정말 좋은 메리트 인거 같아요 설치기사님도 꼼꼼히 설치 해주시고 설명해주셨는데 제가 기억을 잘못해서 리모델링하고 새거라 기분이 좋아요 고장없이 잘써쓰면 좋겠네요 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
"리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태20평대거주인원 2인신혼 부부 보이시나요? 아름다운 키친핏 키친핏 제품에 화이트 인테리어에 어울리는 제품을 찾던 중 가성비가 너무 좋아 구매하게 되었습니다. 코타화이트 색상을 실제로 보면 화면으로 보는 것보다 더 더 예쁩니다. 재질이 지문이 남는 재질도 아니여서 마음껏 열고 닫아도 깨끗함을 유지할 수 있습니다. 삼성 제품이니 기능적인 측면은 말씀드리지 않아도 되구요, 설치기사님도 너무 친절하셨습니다 이번에 이사하면서 구매한 가전제품중에 단연 만족도가 높은 상위 제품으로 추천할 수 있을 것 같습니다 더보기 이미지 펼쳐보기 0",냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 자세하고 정성어린 리뷰 정말 감사합니다! 앞으로도 좋은 제품을 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태30평대거주인원 2인신혼 부부 한달사용비스포크 키친핏은 가족 모두가 사용 중인데 합리적인 가격에 좋은 제품이라고 생각 합니다. 특히 변온 냉장고는 한칸을 김치냉장고로 사용할 수 있어서 활용도가 좋습니다 사진 비디오 수 3 이미지 펼쳐보기 1,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5  . 신고 제품선택 코타화이트 주거형태거주인원 1인싱글 원하는 날짜와 시간에 맞춰서 배송 왔고 설치 후 배송기사 분들도 아주 친절하게 기능이나 주의사항에 대해서 설명해주셧습니다. 사진 비디오 수 3 이미지 펼쳐보기 0,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태30평대거주인원 2인신혼 부부 한달사용냉장고 튼튼하고 아주 좋습니다! 설치하시다 기사님이 패널 끝쪽 크랙 발견하시고 패널교체 바로 진행해주셨는데요 꼼꼼한 검수까지 너무 만족했습니다 믿고 쓰는 삼성! 잘 사용중입니다!!! 사진 비디오 수 4 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
"리뷰 더보기 접기 평점 4  . 신고 제품선택 4도어 패널색상선택 주거형태거주인원 3인대가족 1. 우선 글라스가 예쁘고 배색이 안정되고 고급져요. 냉장실 냉기가 조금 약한 듯 한데.. 제 느낌일까요.. 2. 기사님 친절하시고 설치 잘 해주셨는데,가시고 나서 보니 냉장실 맨 윗칸 유리보호 쿠션을 안떼어져 있더라구요. 직접 떼려니 테이프 자국이 남겠어서 그냥 쓰기로 했어요. 기사님도 그래서 안뗀거 같아요. 삼성에세 개선해야 할듯요. 아님 제게 잘못 온걸까요? 여튼 기분은 별도입니다. 3. 맞춤실은 제게는 필요 없는 옵션이예요. 어차피 냉동으로 쓸거라서요. 선택의 여지 없이 맞춤실로 인한 불필요한 금액을 지불하고 싶지는 않습니다. 이거저거 종합해서 맞는 걸 찾는라 선택한거라 어쩔수 없지만요. 여튼 잘 쓰겠습니다. 더보기 사진 비디오 수 3 이미지 펼쳐보기 1",냉장고,4.0,좋음
판매자  . 신고 안녕하세요 고객님 구매해 주셔서 감사합니다. 다음에도 좋은 가격으로 진행할 테니 많은 관심 부탁드립니다,냉장고,,나쁨
"리뷰 더보기 접기 평점 4  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태10평대거주인원 2인신혼 부부 한달사용우선 키친핏이라서 공감과 조화가 되어서 좋구요. 색상.디자인도 무난하고, 고급스런 스타일입니다. 4도어라서, 공간별로 분리.적재 되어서 좋구요. 소음도 안들렸고 좋아요. 더보기 사진 비디오 수 2 이미지 펼쳐보기 0",냉장고,4.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 소중한 리뷰 감사합니다 앞으로도 더욱 노력하는 평강프라자가 되겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 주문제작 기간한정 코타화이트 특별이벤트 주문제작 본품 추가패널필수선택 한달사용아직 입주를 안해서 혼자 돌아 가고 있어요.. 용량이 작긴 하지만 고장 없이 잘 사용했으며좋겠어요 동영상컨텐츠 사진 비디오 수 2 이미지 펼쳐보기 0,냉장고,5.0,좋음
판매자  . 신고 안녕하세요 고객님 구매해 주셔서 감사합니다. 다음에도 좋은 가격으로 진행할 테니 많은 관심 부탁드립니다,냉장고,,나쁨
"리뷰 더보기 접기 평점 5  . 신고 제품선택 코타화이트 주거형태20평대거주인원 4인취학자녀 가정 기존에 큰 냉장고 사용하다가 키친핏으로 바꿨어요 사람들이 왜 키친핏 사용하는지 알것같아요 딱 떨어지는게 너무 예쁘네용 설치기사님들도 꼼꼼히 잘 봐주셔서 만족스런 구매였습니다 , 더보기 이미지 펼쳐보기 0",냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 좋은 리뷰 감사합니다! 앞으로도 좋은 제품을 좋은 가격으로 빠르게 드릴 수 있도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태20평대거주인원 2인신혼 부부 한달사용제일 맘에 드는 부분은 역시 스마트폰 연동 부분인 것 같습니다. 스마트폰으로 원하는 설정 셋을 진행할 수 있어서 굳이 냉장고 패널을 이용하는 번거로움이 없다보니 편리하네요. 키친핏이라 다소 용량이 작지만 모나게 튀어나오는 부분 없이 딱 들어맞아서 깔끔하니 좋네요 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
리뷰 더보기 접기 평점 5  . 신고 제품선택 패널전체 주문제작 기간한정 코타화이트 특별이벤트 주문제작 본품 추가패널필수선택 한달사용일단 너무 깔끔하고 이뻐요. 좀 비싸지만 키친핏으로 대만족입니다. 그리고 구매하기 전엔 몰랐는데 냉동칸 중 하나의 모드를 냉장 냉동 김치로 바꿀 수 있더라고요. 엄청 편리합니다. 이미지 펼쳐보기 0,냉장고,5.0,좋음
리뷰 더보기 접기 평점 5 490  . 신고 제품선택 패널전체 코타화이트 기간한정 코타화이트 특별이벤트 기간한정 전체 코타화이트 주거형태20평대거주인원 3인영유아 가정 한달사용한달사용후기 입니다 키친핏이라 작으면 어쩌나 걱정했는데 8살 애 있는 3인 가족에 적당한 사이즈예요 볼수록 마음에 들어요 아직 아까워서 비닐도 못뗏지만 미관상 문제 전혀 없어요 이미지 펼쳐보기 0,냉장고,5.0,좋음
"판매자  . 신고 안녕하세요, 고객님. 삼성전자 온라인 공식 인증점 평강프라자입니다. 변함없이 만족해주셔서 감사합니다 앞으로도 좋은 제품 좋은 가격으로 준비하도록 노력하겠습니다. 감사합니다.",냉장고,,나쁨
